name,winery,year,rating,num_ratings,price,type,region
12 e Mezzo Negroamaro del Salento 2017,Varvaglione,2017,3.8,133,7.31,Red,Salento
La Bella Addormentata Terre di Chieti Sangiovese 2018,Gran Sasso,2018,3.6,133,7.32,Red,Terre di Chieti
Twin Oaks Cabernet Sauvignon 2018,Robert Mondavi,2018,3.2,133,7.69,Red,California
Cuvée du Chaos Fleurie 2018,Les Bertrand,2018,4.2,133,22.62,Red,Fleurie
Limited Release Cabernet Sauvignon 2014,Black Stallion,2014,4.0,133,106.89,Red,Napa Valley
Gries Lagrein Riserva 2017,Nals Margreid,2017,4.1,133,19.9,Red,Südtirol - Alto Adige
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1998,Château Belair-Monange,1998,4.1,133,96.85,Red,Saint-Émilion Grand Cru
Cortevecchia Riserva Chianti Classico 2015,Principe Corsini,2015,3.9,133,16.99,Red,Chianti Classico
Le Redini 2015,Tenuta Degli Dei,2015,4.0,133,20.09,Red,Toscana
Sangre de Toro Original 2018,Torres,2018,3.5,1331,6.73,Red,Catalunya
Haut-Médoc 2005,Château Sociando-Mallet,2005,4.2,1331,59.95,Red,Haut-Médoc
The Guv’nor 2019,Félix Solís,2019,4.0,1333,6.2,Red,Valdepeñas
Gran Reserva Rioja (Tempranillo) 2011,Ramón Bilbao,2011,3.9,1334,18.23,Red,Rioja
Pinot Noir 2014,Brancott Estate,2014,3.6,1335,9.99,Red,Marlborough
Pauillac (Grand Cru Classé) 2000,Château Pichon Baron,2000,4.5,1339,309.9,Red,Pauillac
Selected Vines Malbec (Barrancas Vineyards) 2017,Pascual Toso,2017,4.0,134,15.16,Red,Mendoza
Terralis Shiraz - Malbec 2015,Trivento,2015,3.4,134,6.99,Red,Mendoza
Testamatta Toscana 2016,Bibi Graetz,2016,4.2,134,105.0,Red,Toscana
Mencia 2014,A Portela,2014,3.6,134,11.9,Red,Valdeorras
Compleo Cuvée Noire 2018,Staatskellerei Zürich,2018,3.9,134,17.06,Red,Zürich
Pommard 2015,Bouchard Père & Fils,2015,4.0,134,48.54,Red,Pommard
Merlot 2017,Zonnebloem,2017,3.8,134,8.29,Red,Stellenbosch
Bordeaux Supérieur 2017,Château Le Gardera,2017,3.8,134,8.78,Red,Bordeaux Supérieur
Bandol Rouge 2016,Gros' Noré,2016,4.1,134,31.9,Red,Bandol
Barolo Carobric 2006,Paolo Scavino,2006,4.3,134,74.69,Red,Barolo
Hommage à Jacques Perrin Châteauneuf-du-Pape 2015,Château de Beaucastel,2015,4.5,134,341.18,Red,Châteauneuf-du-Pape
Endinger Engelsberg Spätburgunder Trocken 2015,Knab,2015,3.7,134,16.95,Red,Baden
Cabernet Sauvignon Reserva 2017,Veramonte,2017,3.5,134,8.5,Red,Colchagua Valley
Saint-Julien (Grand Cru Classé) 2016,Château Saint-Pierre,2016,4.1,134,82.86,Red,Saint-Julien
Shiraz 2018,Guardian Peak,2018,3.5,134,9.9,Red,Stellenbosch
Poggio alle Mura Brunello di Montalcino 2011,Banfi,2011,4.2,1341,37.73,Red,Brunello di Montalcino
Estate Cabernet Sauvignon 2016,Taylors / Wakefield,2016,3.7,1344,9.5,Red,Clare Valley
Hécula Monastrell 2016,Castaño,2016,3.4,1344,8.78,Red,Yecla
Crozes-Hermitage Rouge 2016,E. Guigal,2016,3.8,1348,19.9,Red,Crozes-Hermitage
Cannubi Boschis Barolo 2013,Virna,2013,4.2,135,52.29,Red,Barolo
Gigondas 2017,Domaine la Bouissiere,2017,4.1,135,22.9,Red,Gigondas
Pian delle Vigne Brunello di Montalcino 2015,Antinori,2015,4.1,135,55.0,Red,Brunello di Montalcino
Merindol Syrah 2014,Simonsig,2014,3.9,135,24.27,Red,Stellenbosch
Caprasia Bobal 2016,Vegalfaro,2016,3.8,135,11.05,Red,Utiel-Requena
The Long Walk Shiraz 2019,Footprint,2019,3.4,135,7.25,Red,Western Cape
Les Restanques de Pibarnon 2015,Château de Pibarnon,2015,3.8,135,28.55,Red,Bandol
Madre Toscana 2009,Poggio Antico,2009,4.2,135,38.09,Red,Toscana
Eolithe 2017,Château de Fosse-Sèche,2017,3.9,135,23.29,Red,Saumur
Tenuta Greppone Mazzi Brunello di Montalcino 2014,Ruffino,2014,4.1,135,46.6,Red,Brunello di Montalcino
Enfant Sauvage 2017,Domaine Les Enfants Sauvages,2017,3.7,135,16.47,Red,Côtes Catalanes
Pinotage 2013,Kaapzicht,2013,3.9,135,17.01,Red,Stellenbosch
Gevrey-Chambertin 2017,Domaine Trapet,2017,4.1,135,84.0,Red,Gevrey-Chambertin
La Villa Real Tempranillo 2015,Bodega la Remediadora,2015,3.4,135,6.54,Red,La Mancha
Bourgogne Pinot Noir 2011,Hudelot-Noëllat,2011,3.5,135,19.45,Red,Bourgogne
Barolo del Comune di Serralunga d'Alba 2015,Boasso,2015,4.1,135,28.27,Red,Barolo
Holy Moly Shiraz 2015,Schneider,2015,4.1,135,31.0,Red,Pfalz
Haut-Médoc (Grand Cru Classé) 2005,Château Cantemerle,2005,3.9,1350,52.95,Red,Haut-Médoc
Saint-Julien (Grand Cru Classé) 2005,Château Lagrange,2005,4.1,1354,69.95,Red,Saint-Julien
Vitral Reserva Cabernet Sauvignon 2017,Viña Maipo,2017,3.4,1354,7.5,Red,Maipo Valley
Cuvée Racoveanu Reserve 2013,Corcova,2013,4.1,136,17.5,Red,Mehedinti
Reserva Merlot 2018,de Gras,2018,3.8,136,9.36,Red,Colchagua Valley
Haut-Médoc 2016,Château Belle-Vue,2016,3.8,136,18.95,Red,Haut-Médoc
Tupungato Passo Doble Malbec - Corvina 2018,Masi,2018,3.5,136,7.95,Red,Tupungato
Campogiovanni Brunello di Montalcino Riserva Il Quercione 2010,San Felice,2010,4.4,136,105.73,Red,Brunello di Montalcino
Mavrotragano 2016,Domaine Sigalas,2016,4.2,136,36.95,Red,Santorini
Barbaresco 2014,Giacosa Fratelli,2014,3.2,136,12.7,Red,Barbaresco
Moulin à Vent 2016,Terres Dorées,2016,3.8,136,17.9,Red,Moulin-à-Vent
Don Tommaso Chianti Classico 2015,Principe Corsini,2015,3.9,136,18.49,Red,Chianti Classico
Vecchie Vigne Brunello di Montalcino 2013,Siro Pacenti,2013,4.0,136,75.0,Red,Brunello di Montalcino
Traildust 2017,Beyerskloof,2017,4.0,136,14.95,Red,Coastal Region
Cabernet Sauvignon 2018,Leopard’s Leap,2018,3.4,136,7.45,Red,Western Cape
Barbaresco Basarin Riserva 2015,Negro Angelo,2015,3.8,136,29.5,Red,Barbaresco
Cellar Selection Pinotage 2018,Kleine Zalze,2018,3.6,136,9.5,Red,Coastal Region
Le Crosare Valpolicella Ripasso Classico Superiore 2017,Lenotti,2017,3.9,136,10.67,Red,Valpolicella Ripasso Classico
Iirrésistible Côtes de Provence 2016,Domaine de la Croix,2016,3.7,136,13.5,Red,Côtes de Provence
La Chasselière Crozes-Hermitage 2015,Domaine Michelas St Jemms,2015,3.8,136,17.9,Red,Crozes-Hermitage
Optima 2014,Anthonij Rupert,2014,4.2,1361,22.99,Red,Franschhoek
Valpolicella 2018,Tommasi,2018,3.5,1361,9.5,Red,Valpolicella
Conde de Valdemar Reserva 2011,Bodegas Valdemar,2011,3.7,1364,10.89,Red,Rioja
Laforet Bourgogne Pinot Noir 2015,Joseph Drouhin,2015,3.6,1365,15.0,Red,Bourgogne
Brunello di Montalcino 2014,Caparzo,2014,4.1,1367,23.49,Red,Brunello di Montalcino
